FECHA,DEPARTAMENTO,MUNICIPIO,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS DESTRUIDAS,HECTAREAS,RECURSOS EJECUTADOS,VALOR KIT DE ALIMENTO,VALOR MATERIALES DE CONSTRUCCION
2019-01-03 12:00:00,CUNDINAMARCA,CAQUEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-02 12:00:00,CUNDINAMARCA,CHOACHI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-02 12:00:00,CUNDINAMARCA,GACHETA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-03 12:00:00,ANTIOQUIA,BELLO,INCENDIO DE COBERTURA VEGETAL,0,1,0,0,90.0,0.0,0.0,0.0
2019-01-03 12:00:00,TOLIMA,LIBANO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-03 12:00:00,CESAR,SAN DIEGO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-03 12:00:00,CESAR,EL PASO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-03 12:00:00,SANTANDER,FLORIDABLANCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,21.0,0.0,0.0,0.0
2019-01-01 12:00:00,SANTANDER,PIEDECUESTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,PAIPA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,META,PUERTO GAITAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-03 12:00:00,TOLIMA,GUAMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,TOLIMA,SAN LUIS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-04 12:00:00,CAQUETA,FLORENCIA,MOVIMIENTO EN MASA,0,0,3,3,0.0,0.0,0.0,0.0
2019-01-03 12:00:00,TOLIMA,SAN LUIS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-02 12:00:00,TOLIMA,PIEDRAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-02 12:00:00,TOLIMA,SALDAÑA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-02 12:00:00,TOLIMA,CASABIANCA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-01 12:00:00,TOLIMA,GUAMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,TOLIMA,VILLARRICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,TOLIMA,ESPINAL,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-01 12:00:00,TOLIMA,ALVARADO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,200.0,0.0,0.0,0.0
2019-01-02 12:00:00,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-02 12:00:00,CESAR,EL PASO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-02 12:00:00,BOYACA,BOYACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,BOYACA,SAMACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-03 12:00:00,SANTANDER,ONZAGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,SANTANDER,PINCHOTE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0
2019-01-03 12:00:00,SANTANDER,LA BELLEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-04 12:00:00,SANTANDER,CHARALA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-04 12:00:00,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-04 12:00:00,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,RISARALDA,LA CELIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-04 12:00:00,ANTIOQUIA,SANTAFE DE ANTIOQUIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-04 12:00:00,BOYACA,BELEN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-04 12:00:00,LA GUAJIRA,DISTRACCION,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-04 12:00:00,TOLIMA,MELGAR,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7.0,0.0,0.0,0.0
2019-01-03 12:00:00,CUNDINAMARCA,UNE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,CUNDINAMARCA,LA PALMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,CUNDINAMARCA,AGUA DE DIOS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-03 12:00:00,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0
2019-01-04 12:00:00,ANTIOQUIA,AMALFI,ACCIDENTE MINERO,1,1,0,0,0.0,0.0,0.0,0.0
2019-01-04 12:00:00,"BOGOTA, D.C.","BOGOTA, D.C.",INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-04 12:00:00,CESAR,AGUACHICA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-04 12:00:00,GUAINIA,INIRIDA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-04 12:00:00,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600.0,0.0,0.0,0.0
2019-01-03 12:00:00,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,800.0,0.0,0.0,0.0
2019-01-05 12:00:00,META,LA URIBE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8.0,0.0,0.0,0.0
2019-01-03 12:00:00,CASANARE,OROCUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,700.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,SIBATE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-05 12:00:00,VALLE DEL CAUCA,JAMUNDI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-05 12:00:00,CAQUETA,MORELIA,COLAPSO ESTRUCTURAL,0,8,0,0,0.0,0.0,0.0,0.0
2019-01-05 12:00:00,CORDOBA,MONTERIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-05 12:00:00,CALDAS,AGUADAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-03 12:00:00,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0
2019-01-04 12:00:00,SANTANDER,BARICHARA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,BOJACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,CHOACHI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,FOMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,15.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,QUETAME,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,UBALA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-05 12:00:00,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-05 12:00:00,SANTANDER,LEBRIJA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-05 12:00:00,SANTANDER,PUERTO WILCHES,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,16.0,0.0,0.0,0.0
2019-01-06 12:00:00,ANTIOQUIA,BELLO,COLAPSO ESTRUCTURAL,0,0,3,1,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,ANTIOQUIA,SAN JERONIMO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,12.0,0.0,0.0,0.0
2019-01-06 12:00:00,CALDAS,MANIZALES,ACCIDENTE TRANSPORTE TERRESTRE,0,4,0,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,CUNDINAMARCA,CHIA,GRANIZADA,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,CUNDINAMARCA,LA VEGA,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-06 12:00:00,CUNDINAMARCA,SILVANIA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-06 12:00:00,NORTE DE SANTANDER,PAMPLONA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,20.0,0.0,0.0,0.0
2019-01-06 12:00:00,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-05 12:00:00,GUAINIA,INIRIDA,ACCIDENTE TRANSPORTE MARITIMO O FLUVIAL,1,0,1,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,CUNDINAMARCA,SOACHA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-05 12:00:00,CUNDINAMARCA,PAIME,VENDAVAL,0,0,2,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,RISARALDA,PEREIRA,VENDAVAL,0,0,55,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,RISARALDA,DOSQUEBRADAS,VENDAVAL,0,0,12,0,0.0,0.0,0.0,0.0
2019-01-06 12:00:00,SANTANDER,GIRON,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0
2019-01-06 12:00:00,VALLE DEL CAUCA,BUGALAGRANDE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-07 12:00:00,CASANARE,TRINIDAD,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
